[2025-04-26 18:37:41]<1> Initializing...
[2025-04-26 18:37:41]<2> Initializing done
[2025-04-26 18:37:41]<3> Resizing terminal
[2025-04-26 18:37:42]<4> w pressed
[2025-04-26 18:37:43]<5> d pressed
[2025-04-26 18:37:43]<6> w pressed
[2025-04-26 18:37:43]<7> d pressed
[2025-04-26 18:37:43]<8> a pressed
[2025-04-26 18:37:43]<9> d pressed
[2025-04-26 18:37:44]<10> a pressed
[2025-04-26 18:37:44]<11> a pressed
[2025-04-26 18:37:45]<12> a pressed
[2025-04-26 18:37:45]<13> a pressed
[2025-04-26 18:37:45]<14> a pressed
[2025-04-26 18:37:45]<15> a pressed
[2025-04-26 18:37:45]<16> a pressed
[2025-04-26 18:37:45]<17> a pressed
[2025-04-26 18:37:45]<18> a pressed
[2025-04-26 18:37:45]<19> a pressed
[2025-04-26 18:37:45]<20> a pressed
[2025-04-26 18:37:45]<21> a pressed
[2025-04-26 18:37:45]<22> a pressed
[2025-04-26 18:37:45]<23> a pressed
[2025-04-26 18:37:45]<24> a pressed
[2025-04-26 18:37:45]<25> a pressed
[2025-04-26 18:37:45]<26> a pressed
[2025-04-26 18:37:45]<27> w pressed
[2025-04-26 18:37:46]<28> w pressed
[2025-04-26 18:37:46]<29> w pressed
[2025-04-26 18:37:46]<30> w pressed
[2025-04-26 18:37:46]<31> w pressed
[2025-04-26 18:37:46]<32> w pressed
[2025-04-26 18:37:46]<33> w pressed
[2025-04-26 18:37:46]<34> w pressed
[2025-04-26 18:37:46]<35> w pressed
[2025-04-26 18:37:46]<36> w pressed
[2025-04-26 18:37:46]<37> a pressed
[2025-04-26 18:37:47]<38> a pressed
[2025-04-26 18:37:47]<39> a pressed
[2025-04-26 18:37:47]<40> a pressed
[2025-04-26 18:37:47]<41> a pressed
[2025-04-26 18:37:47]<42> a pressed
[2025-04-26 18:37:47]<43> a pressed
[2025-04-26 18:37:47]<44> a pressed
[2025-04-26 18:37:47]<45> a pressed
[2025-04-26 18:37:47]<46> a pressed
[2025-04-26 18:37:47]<47> a pressed
[2025-04-26 18:37:47]<48> a pressed
[2025-04-26 18:37:47]<49> a pressed
[2025-04-26 18:37:47]<50> a pressed
[2025-04-26 18:37:47]<51> a pressed
[2025-04-26 18:37:47]<52> a pressed
[2025-04-26 18:37:47]<53> a pressed
[2025-04-26 18:37:47]<54> a pressed
[2025-04-26 18:37:47]<55> a pressed
[2025-04-26 18:37:47]<56> a pressed
[2025-04-26 18:37:47]<57> a pressed
[2025-04-26 18:37:47]<58> a pressed
[2025-04-26 18:37:47]<59> a pressed
[2025-04-26 18:37:48]<60> s pressed
[2025-04-26 18:37:48]<61> d pressed
[2025-04-26 18:37:49]<62> d pressed
[2025-04-26 18:37:49]<63> s pressed
[2025-04-26 18:37:49]<64> d pressed
[2025-04-26 18:37:49]<65> a pressed
[2025-04-26 18:37:49]<66> s pressed
[2025-04-26 18:37:49]<67> d pressed
[2025-04-26 18:37:49]<68> a pressed
[2025-04-26 18:37:49]<69> w pressed
[2025-04-26 18:37:50]<70> a pressed
[2025-04-26 18:37:50]<71> s pressed
[2025-04-26 18:37:50]<72> d pressed
[2025-04-26 18:38:14]<73> Exiting...
[2025-04-26 18:38:17]<74> Exiting
